CountryCode,CountryName,IndicatorName,OriginalIndicatorName,Year,Value,Zone
CHN,China,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,23.5,Health
CAN,Canada,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,5.3,Health
BRA,Brazil,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,23.9,Health
AUS,Australia,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,4.9,Health
ARG,Argentina,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,15.4,Health
USA,United States,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,13.0,Health
GBR,United Kingdom,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,14.0,Health
TUR,Turkiye,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,29.0,Health
ZAF,South Africa,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,245.0,Health
SAU,Saudi Arabia,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,16.0,Health
RUS,Russian Federation,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,45.0,Health
MEX,Mexico,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,54.0,Health
KOR,"Korea, Rep.",Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,13.0,Health
JPN,Japan,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,8.0,Health
ITA,Italy,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,8.0,Health
IDN,Indonesia,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,279.0,Health
IND,India,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,313.0,Health
DEU,Germany,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,6.0,Health
FRA,France,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,9.0,Health
CHN,China,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,47.0,Health
CAN,Canada,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,10.0,Health
BRA,Brazil,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,67.0,Health
AUS,Australia,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,5.0,Health
ARG,Argentina,Maternal_Mortality,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",2003,61.0,Health
USA,United States,GDP_Current_USD,GDP (current US$),2003,11456442041000.0,Economy
GBR,United Kingdom,GDP_Current_USD,GDP (current US$),2003,2061227755102.04,Economy
TUR,Turkiye,GDP_Current_USD,GDP (current US$),2003,315392899922.379,Economy
ZAF,South Africa,GDP_Current_USD,GDP (current US$),2003,197018965308.697,Economy
SAU,Saudi Arabia,GDP_Current_USD,GDP (current US$),2003,215807733333.333,Economy
RUS,Russian Federation,GDP_Current_USD,GDP (current US$),2003,430347420184.885,Economy
MEX,Mexico,GDP_Current_USD,GDP (current US$),2003,765549967703.273,Economy
KOR,"Korea, Rep.",GDP_Current_USD,GDP (current US$),2003,728516494684.269,Economy
JPN,Japan,GDP_Current_USD,GDP (current US$),2003,4519561645253.53,Economy
ITA,Italy,GDP_Current_USD,GDP (current US$),2003,1582930016538.82,Economy
IDN,Indonesia,GDP_Current_USD,GDP (current US$),2003,234772463823.808,Economy
IND,India,GDP_Current_USD,GDP (current US$),2003,607700687237.318,Economy
DEU,Germany,GDP_Current_USD,GDP (current US$),2003,2534715518349.01,Economy
FRA,France,GDP_Current_USD,GDP (current US$),2003,1835095983049.09,Economy
CHN,China,GDP_Current_USD,GDP (current US$),2003,1683903309843.85,Economy
CAN,Canada,GDP_Current_USD,GDP (current US$),2003,895540646634.787,Economy
BRA,Brazil,GDP_Current_USD,GDP (current US$),2003,558233724164.711,Economy
AUS,Australia,GDP_Current_USD,GDP (current US$),2003,468517181129.878,Economy
ARG,Argentina,GDP_Current_USD,GDP (current US$),2003,127586973492.177,Economy
USA,United States,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,39490.3023903176,Economy
GBR,United Kingdom,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,30317.5243136229,Economy
TUR,Turkiye,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,9475.23842234984,Economy
ZAF,South Africa,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,9138.82823855017,Economy
SAU,Saudi Arabia,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,48078.1186117167,Economy
RUS,Russian Federation,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,9254.537109375,Economy
MEX,Mexico,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,12066.1601233136,Economy
KOR,"Korea, Rep.",GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,22907.1667439916,Economy
JPN,Japan,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,29392.2489916186,Economy
ITA,Italy,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,29252.9002536241,Economy
IDN,Indonesia,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,5352.50750391531,Economy
IND,India,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,2461.48251610861,Economy
DEU,Germany,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,30305.2575678401,Economy
FRA,France,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,28027.6762119343,Economy
CHN,China,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,4007.11604605423,Economy
CAN,Canada,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,32351.5456968698,Economy
BRA,Brazil,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,9801.9621245505,Economy
AUS,Australia,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,30171.9271819424,Economy
ARG,Argentina,GDP_Per_Capita_PPP,"GDP per capita, PPP (current international $)",2003,10933.3925491594,Economy
USA,United States,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,5.989,Economy
GBR,United Kingdom,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,4.807,Economy
TUR,Turkiye,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,10.542,Economy
ZAF,South Africa,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,22.629,Economy
SAU,Saudi Arabia,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,5.563,Economy
RUS,Russian Federation,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,8.21,Economy
MEX,Mexico,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,3.455,Economy
KOR,"Korea, Rep.",Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,3.348,Economy
JPN,Japan,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,5.251,Economy
ITA,Italy,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,8.869,Economy
IDN,Indonesia,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,6.657,Economy
IND,India,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,7.68,Economy
DEU,Germany,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,9.779,Economy
FRA,France,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,8.306,Economy
CHN,China,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,4.58,Economy
CAN,Canada,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,7.574,Economy
BRA,Brazil,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,11.168,Economy
AUS,Australia,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,5.933,Economy
ARG,Argentina,Unemployment_Rate,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,15.36,Economy
USA,United States,Trade_Pct_GDP,Trade (% of GDP),2003,22.6273130062789,Economy
GBR,United Kingdom,Trade_Pct_GDP,Trade (% of GDP),2003,50.0681187039704,Economy
TUR,Turkiye,Trade_Pct_GDP,Trade (% of GDP),2003,46.3681553387846,Economy
ZAF,South Africa,Trade_Pct_GDP,Trade (% of GDP),2003,45.723862568979,Economy
SAU,Saudi Arabia,Trade_Pct_GDP,Trade (% of GDP),2003,69.831170708742,Economy
RUS,Russian Federation,Trade_Pct_GDP,Trade (% of GDP),2003,59.1282690076014,Economy
MEX,Mexico,Trade_Pct_GDP,Trade (% of GDP),2003,48.700416880838,Economy
KOR,"Korea, Rep.",Trade_Pct_GDP,Trade (% of GDP),2003,59.4242945541732,Economy
JPN,Japan,Trade_Pct_GDP,Trade (% of GDP),2003,21.3261252678119,Economy
ITA,Italy,Trade_Pct_GDP,Trade (% of GDP),2003,45.9940859777074,Economy
IDN,Indonesia,Trade_Pct_GDP,Trade (% of GDP),2003,53.6164937473016,Economy
IND,India,Trade_Pct_GDP,Trade (% of GDP),2003,30.592436132908,Economy
DEU,Germany,Trade_Pct_GDP,Trade (% of GDP),2003,58.9145442942507,Economy
FRA,France,Trade_Pct_GDP,Trade (% of GDP),2003,52.5988822870657,Economy
CHN,China,Trade_Pct_GDP,Trade (% of GDP),2003,51.0774801301803,Economy
CAN,Canada,Trade_Pct_GDP,Trade (% of GDP),2003,69.8400946170607,Economy
BRA,Brazil,Trade_Pct_GDP,Trade (% of GDP),2003,28.1403847215489,Economy
AUS,Australia,Trade_Pct_GDP,Trade (% of GDP),2003,40.1348011794482,Economy
ARG,Argentina,Trade_Pct_GDP,Trade (% of GDP),2003,40.6447480311085,Economy
USA,United States,Forest_Area_Pct,Forest area (% of land area),2003,33.2999196674933,Environment
GBR,United Kingdom,Forest_Area_Pct,Forest area (% of land area),2003,12.3403463811846,Environment
TUR,Turkiye,Forest_Area_Pct,Forest area (% of land area),2003,26.5436235593727,Environment
ZAF,South Africa,Forest_Area_Pct,Forest area (% of land area),2003,14.5651930194792,Environment
SAU,Saudi Arabia,Forest_Area_Pct,Forest area (% of land area),2003,0.454484134921779,Environment
RUS,Russian Federation,Forest_Area_Pct,Forest area (% of land area),2003,49.5103852150482,Environment
MEX,Mexico,Forest_Area_Pct,Forest area (% of land area),2003,34.9545708480156,Environment
KOR,"Korea, Rep.",Forest_Area_Pct,Forest area (% of land area),2003,66.625,Environment
JPN,Japan,Forest_Area_Pct,Forest area (% of land area),2003,68.320987654321,Environment
ITA,Italy,Forest_Area_Pct,Forest area (% of land area),2003,28.9697854036616,Environment
IDN,Indonesia,Forest_Area_Pct,Forest area (% of land area),2003,53.684548598443,Environment
IND,India,Forest_Area_Pct,Forest area (% of land area),2003,22.9257127866029,Environment
DEU,Germany,Forest_Area_Pct,Forest area (% of land area),2003,32.5979759754594,Environment
FRA,France,Forest_Area_Pct,Forest area (% of land area),2003,28.9958252156972,Environment
CHN,China,Forest_Area_Pct,Forest area (% of land area),2003,19.6079386867747,Environment
CAN,Canada,Forest_Area_Pct,Forest area (% of land area),2003,38.7769284564652,Environment
BRA,Brazil,Forest_Area_Pct,Forest area (% of land area),2003,64.5162954915806,Environment
AUS,Australia,Forest_Area_Pct,Forest area (% of land area),2003,17.0695885346836,Environment
ARG,Argentina,Forest_Area_Pct,Forest area (% of land area),2003,11.8496431820922,Environment
USA,United States,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,5.3,Environment
GBR,United Kingdom,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,0.9,Environment
TUR,Turkiye,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,16.3,Environment
ZAF,South Africa,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,11.8,Environment
SAU,Saudi Arabia,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,0.0,Environment
RUS,Russian Federation,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,3.3,Environment
MEX,Mexico,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,10.2,Environment
KOR,"Korea, Rep.",Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,0.8,Environment
JPN,Japan,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,4.2,Environment
ITA,Italy,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,6.2,Environment
IDN,Indonesia,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,43.0,Environment
IND,India,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,45.6,Environment
DEU,Germany,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,5.4,Environment
FRA,France,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,8.8,Environment
CHN,China,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,23.9,Environment
CAN,Canada,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,19.7,Environment
BRA,Brazil,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,45.1,Environment
AUS,Australia,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,7.2,Environment
ARG,Argentina,Renewable_Energy_Pct,Renewable energy consumption (% of total final energy consumption),2003,10.8,Environment
USA,United States,Electricity_Access_Pct,Access to electricity (% of population),2003,100.0,Infrastructure
GBR,United Kingdom,Electricity_Access_Pct,Access to electricity (% of population),2003,100.0,Infrastructure
TUR,Turkiye,Electricity_Access_Pct,Access to electricity (% of population),2003,99.8,Infrastructure
ZAF,South Africa,Electricity_Access_Pct,Access to electricity (% of population),2003,78.8,Infrastructure
SAU,Saudi Arabia,Electricity_Access_Pct,Access to electricity (% of population),2003,100.0,Infrastructure
RUS,Russian Federation,Electricity_Access_Pct,Access to electricity (% of population),2003,97.9,Infrastructure
MEX,Mexico,Electricity_Access_Pct,Access to electricity (% of population),2003,97.4,Infrastructure
KOR,"Korea, Rep.",Electricity_Access_Pct,Access to electricity (% of population),2003,100.0,Infrastructure
JPN,Japan,Electricity_Access_Pct,Access to electricity (% of population),2003,100.0,Infrastructure
ITA,Italy,Electricity_Access_Pct,Access to electricity (% of population),2003,100.0,Infrastructure
IDN,Indonesia,Electricity_Access_Pct,Access to electricity (% of population),2003,87.9,Infrastructure
IND,India,Electricity_Access_Pct,Access to electricity (% of population),2003,65.4,Infrastructure
DEU,Germany,Electricity_Access_Pct,Access to electricity (% of population),2003,100.0,Infrastructure
FRA,France,Electricity_Access_Pct,Access to electricity (% of population),2003,100.0,Infrastructure
CHN,China,Electricity_Access_Pct,Access to electricity (% of population),2003,97.4,Infrastructure
CAN,Canada,Electricity_Access_Pct,Access to electricity (% of population),2003,100.0,Infrastructure
BRA,Brazil,Electricity_Access_Pct,Access to electricity (% of population),2003,97.0,Infrastructure
AUS,Australia,Electricity_Access_Pct,Access to electricity (% of population),2003,100.0,Infrastructure
ARG,Argentina,Electricity_Access_Pct,Access to electricity (% of population),2003,96.3,Infrastructure
USA,United States,Internet_Users_Pct,Individuals using the Internet (% of population),2003,61.6971,Infrastructure
GBR,United Kingdom,Internet_Users_Pct,Individuals using the Internet (% of population),2003,64.82,Infrastructure
TUR,Turkiye,Internet_Users_Pct,Individuals using the Internet (% of population),2003,12.33,Infrastructure
ZAF,South Africa,Internet_Users_Pct,Individuals using the Internet (% of population),2003,7.00769,Infrastructure
SAU,Saudi Arabia,Internet_Users_Pct,Individuals using the Internet (% of population),2003,8.00158,Infrastructure
RUS,Russian Federation,Internet_Users_Pct,Individuals using the Internet (% of population),2003,8.29886,Infrastructure
MEX,Mexico,Internet_Users_Pct,Individuals using the Internet (% of population),2003,12.9,Infrastructure
KOR,"Korea, Rep.",Internet_Users_Pct,Individuals using the Internet (% of population),2003,65.5,Infrastructure
JPN,Japan,Internet_Users_Pct,Individuals using the Internet (% of population),2003,48.4353,Infrastructure
ITA,Italy,Internet_Users_Pct,Individuals using the Internet (% of population),2003,29.04,Infrastructure
IDN,Indonesia,Internet_Users_Pct,Individuals using the Internet (% of population),2003,2.38702,Infrastructure
IND,India,Internet_Users_Pct,Individuals using the Internet (% of population),2003,1.68649,Infrastructure
DEU,Germany,Internet_Users_Pct,Individuals using the Internet (% of population),2003,55.9,Infrastructure
FRA,France,Internet_Users_Pct,Individuals using the Internet (% of population),2003,36.14,Infrastructure
CHN,China,Internet_Users_Pct,Individuals using the Internet (% of population),2003,6.2,Infrastructure
CAN,Canada,Internet_Users_Pct,Individuals using the Internet (% of population),2003,64.2,Infrastructure
BRA,Brazil,Internet_Users_Pct,Individuals using the Internet (% of population),2003,13.2076,Infrastructure
AUS,Australia,Internet_Users_Pct,Individuals using the Internet (% of population),2003,,Infrastructure
ARG,Argentina,Internet_Users_Pct,Individuals using the Internet (% of population),2003,11.9137,Infrastructure
USA,United States,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,55.4096,Infrastructure
GBR,United Kingdom,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,90.6985,Infrastructure
TUR,Turkiye,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,41.1128,Infrastructure
ZAF,South Africa,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,34.7626,Infrastructure
SAU,Saudi Arabia,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,38.5283,Infrastructure
RUS,Russian Federation,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,24.785,Infrastructure
MEX,Mexico,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,29.2272,Infrastructure
KOR,"Korea, Rep.",Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,70.6984,Infrastructure
JPN,Japan,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,67.8735,Infrastructure
ITA,Italy,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,98.3206,Infrastructure
IDN,Indonesia,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,8.21836,Infrastructure
IND,India,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,3.01665,Infrastructure
DEU,Germany,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,78.917,Infrastructure
FRA,France,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,68.6553,Infrastructure
CHN,China,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,20.8536,Infrastructure
CAN,Canada,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,41.7477,Infrastructure
BRA,Brazil,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,25.6741,Infrastructure
AUS,Australia,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,72.3885,Infrastructure
ARG,Argentina,Mobile_Subscriptions_Per100,Mobile cellular subscriptions (per 100 people),2003,20.4096,Infrastructure
USA,United States,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,,Education
GBR,United Kingdom,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,100.598129272461,Education
TUR,Turkiye,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,104.261337280273,Education
ZAF,South Africa,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,96.9286880493164,Education
SAU,Saudi Arabia,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,,Education
RUS,Russian Federation,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,126.574638366699,Education
MEX,Mexico,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,109.264152526855,Education
KOR,"Korea, Rep.",Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,99.9939575195312,Education
JPN,Japan,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,,Education
ITA,Italy,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,103.36434173584,Education
IDN,Indonesia,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,110.176658630371,Education
IND,India,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,105.664947509766,Education
DEU,Germany,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,103.66805267334,Education
FRA,France,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,99.9754486083984,Education
CHN,China,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,,Education
CAN,Canada,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,,Education
BRA,Brazil,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,,Education
AUS,Australia,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,102.854759216309,Education
ARG,Argentina,Primary_Enrollment_Pct,"School enrollment, primary (% gross)",2003,114.37532043457,Education
USA,United States,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,,Education
GBR,United Kingdom,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,102.157051086426,Education
TUR,Turkiye,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,91.8227310180664,Education
ZAF,South Africa,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,75.5357818603516,Education
SAU,Saudi Arabia,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,,Education
RUS,Russian Federation,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,94.6366500854492,Education
MEX,Mexico,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,78.5541915893555,Education
KOR,"Korea, Rep.",Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,96.9660186767578,Education
JPN,Japan,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,,Education
ITA,Italy,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,99.5263137817383,Education
IDN,Indonesia,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,60.7244682312012,Education
IND,India,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,51.4255714416504,Education
DEU,Germany,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,101.226783752441,Education
FRA,France,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,102.772102355957,Education
CHN,China,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,64.0541305541992,Education
CAN,Canada,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,,Education
BRA,Brazil,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,,Education
AUS,Australia,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,,Education
ARG,Argentina,Secondary_Enrollment_Pct,"School enrollment, secondary (% gross)",2003,96.0464477539062,Education
USA,United States,Population_Total,"Population, total",2003,290107933.0,Demographics
GBR,United Kingdom,Population_Total,"Population, total",2003,59647577.0,Demographics
TUR,Turkiye,Population_Total,"Population, total",2003,67831730.0,Demographics
ZAF,South Africa,Population_Total,"Population, total",2003,48500348.0,Demographics
SAU,Saudi Arabia,Population_Total,"Population, total",2003,18786767.0,Demographics
RUS,Russian Federation,Population_Total,"Population, total",2003,144648618.0,Demographics
MEX,Mexico,Population_Total,"Population, total",2003,102978515.0,Demographics
KOR,"Korea, Rep.",Population_Total,"Population, total",2003,47892330.0,Demographics
JPN,Japan,Population_Total,"Population, total",2003,127718000.0,Demographics
ITA,Italy,Population_Total,"Population, total",2003,57399184.0,Demographics
IDN,Indonesia,Population_Total,"Population, total",2003,225048008.0,Demographics
IND,India,Population_Total,"Population, total",2003,1116803006.0,Demographics
DEU,Germany,Population_Total,"Population, total",2003,82534176.0,Demographics
FRA,France,Population_Total,"Population, total",2003,62249855.0,Demographics
CHN,China,Population_Total,"Population, total",2003,1288400000.0,Demographics
