Country,series,Country,Series,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
DEU,SP.DYN.LE00.IN,Germany,"Life expectancy at birth, total (years)",79.9878048780488,80.4365853658537,80.5390243902439,80.490243902439,81.090243902439,80.6414634146341,80.990243902439,80.9926829268293,80.8926829268293,81.2926829268293,81.0414634146342,80.790243902439,80.6080487804878,80.5414634146342,
FRA,SP.DYN.LE00.IN,France,"Life expectancy at birth, total (years)",81.6634146341463,82.1146341463415,81.9682926829268,82.219512195122,82.719512195122,82.3219512195122,82.5731707317073,82.5756097560976,82.6756097560976,82.8268292682927,82.1756097560976,82.3243902439024,82.1292682926829,82.9292682926829,
CHN,SP.DYN.LE00.IN,China,"Life expectancy at birth, total (years)",75.668,75.889,76.2,76.452,76.714,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953,
CAN,SP.DYN.LE00.IN,Canada,"Life expectancy at birth, total (years)",81.3221951219512,81.4826829268293,81.6636585365854,81.7448780487805,81.7843902439025,81.8258536585366,81.94,81.8129268292683,81.8087804878049,82.1636585365854,81.5351219512195,81.5168292682927,81.2453658536585,81.6465853658537,
BRA,SP.DYN.LE00.IN,Brazil,"Life expectancy at birth, total (years)",73.779,74.047,74.335,74.609,74.823,75.106,75.081,75.383,75.633,75.809,74.506,73.038,74.872,75.848,
AUS,SP.DYN.LE00.IN,Australia,"Life expectancy at birth, total (years)",81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,83.0512195121951,
ARG,SP.DYN.LE00.IN,Argentina,"Life expectancy at birth, total (years)",75.68,76.1,75.802,75.829,76.268,76.6,76.105,76.543,76.77,76.847,75.878,73.948,75.806,77.395,
USA,SP.DYN.IMRT.IN,United States,"Mortality rate, infant (per 1,000 live births)",6.2,6.1,6.0,5.9,5.8,5.8,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.5,
GBR,SP.DYN.IMRT.IN,United Kingdom,"Mortality rate, infant (per 1,000 live births)",4.4,4.3,4.1,4.0,3.9,3.9,3.8,3.8,3.8,3.8,3.9,3.9,3.9,4.0,
TUR,SP.DYN.IMRT.IN,Turkiye,"Mortality rate, infant (per 1,000 live births)",14.7,13.8,12.9,12.2,11.5,11.0,10.4,9.9,9.5,9.1,8.7,8.4,8.0,9.1,
ZAF,SP.DYN.IMRT.IN,South Africa,"Mortality rate, infant (per 1,000 live births)",35.4,33.9,33.0,32.0,30.9,29.7,28.4,27.3,26.3,25.6,25.0,24.7,24.5,24.4,
SAU,SP.DYN.IMRT.IN,Saudi Arabia,"Mortality rate, infant (per 1,000 live births)",10.4,9.7,9.1,8.5,7.9,7.4,6.9,6.5,6.1,5.8,5.5,5.3,5.1,4.9,
RUS,SP.DYN.IMRT.IN,Russian Federation,"Mortality rate, infant (per 1,000 live births)",8.3,8.1,7.9,7.6,7.2,6.6,6.1,5.6,5.1,4.7,4.4,4.1,3.9,3.7,
MEX,SP.DYN.IMRT.IN,Mexico,"Mortality rate, infant (per 1,000 live births)",16.2,15.7,15.2,14.8,14.3,13.9,13.5,13.0,12.6,12.2,11.8,11.5,11.1,10.8,
KOR,SP.DYN.IMRT.IN,"Korea, Rep.","Mortality rate, infant (per 1,000 live births)",3.3,3.2,3.1,3.0,2.9,2.9,2.8,2.7,2.7,2.6,2.5,2.4,2.4,2.3,
JPN,SP.DYN.IMRT.IN,Japan,"Mortality rate, infant (per 1,000 live births)",2.4,2.3,2.2,2.2,2.1,2.0,2.0,1.9,1.9,1.8,1.8,1.8,1.8,1.8,
ITA,SP.DYN.IMRT.IN,Italy,"Mortality rate, infant (per 1,000 live births)",3.4,3.3,3.2,3.1,3.1,3.0,2.9,2.8,2.7,2.6,2.5,2.5,2.4,2.3,
IDN,SP.DYN.IMRT.IN,Indonesia,"Mortality rate, infant (per 1,000 live births)",27.1,26.1,25.1,24.1,23.2,22.3,21.5,20.7,19.9,19.3,18.6,18.0,17.5,17.0,
IND,SP.DYN.IMRT.IN,India,"Mortality rate, infant (per 1,000 live births)",46.7,44.6,42.5,40.5,38.5,36.6,34.7,33.0,31.3,29.7,28.2,26.8,25.6,24.5,
DEU,SP.DYN.IMRT.IN,Germany,"Mortality rate, infant (per 1,000 live births)",3.5,3.4,3.4,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3.1,3.1,
FRA,SP.DYN.IMRT.IN,France,"Mortality rate, infant (per 1,000 live births)",3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.3,3.4,3.4,3.4,
CHN,SP.DYN.IMRT.IN,China,"Mortality rate, infant (per 1,000 live births)",12.5,11.5,10.5,9.7,8.9,8.2,7.6,7.0,6.4,6.0,5.5,5.1,4.8,4.5,
CAN,SP.DYN.IMRT.IN,Canada,"Mortality rate, infant (per 1,000 live births)",5.0,4.9,4.8,4.8,4.7,4.7,4.6,4.6,4.5,4.5,4.5,4.5,4.5,4.4,
BRA,SP.DYN.IMRT.IN,Brazil,"Mortality rate, infant (per 1,000 live births)",16.0,15.3,14.8,14.4,14.0,13.7,14.6,13.3,13.1,13.0,12.8,12.7,12.6,12.5,
AUS,SP.DYN.IMRT.IN,Australia,"Mortality rate, infant (per 1,000 live births)",4.0,3.8,3.6,3.5,3.4,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,
ARG,SP.DYN.IMRT.IN,Argentina,"Mortality rate, infant (per 1,000 live births)",12.4,11.9,11.4,10.9,10.4,10.0,9.7,9.4,9.2,8.9,8.7,8.5,8.3,8.2,
USA,SH.STA.MMRT,United States,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",15.0,15.0,16.0,16.0,17.0,17.0,18.0,18.0,18.0,18.0,22.0,31.0,20.0,17.0,
GBR,SH.STA.MMRT,United Kingdom,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,14.0,13.0,15.0,8.0,
TUR,SH.STA.MMRT,Turkiye,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",23.0,23.0,21.0,20.0,20.0,19.0,19.0,18.0,17.0,17.0,19.0,20.0,21.0,15.0,
ZAF,SH.STA.MMRT,South Africa,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",226.0,202.0,194.0,180.0,162.0,150.0,141.0,134.0,128.0,119.0,118.0,191.0,129.0,118.0,
SAU,SH.STA.MMRT,Saudi Arabia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",11.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,11.0,12.0,9.0,7.0,
RUS,SH.STA.MMRT,Russian Federation,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",23.0,19.0,18.0,16.0,16.0,15.0,14.0,12.0,12.0,12.0,19.0,21.0,13.0,9.0,
MEX,SH.STA.MMRT,Mexico,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",50.0,47.0,46.0,45.0,44.0,43.0,43.0,44.0,44.0,43.0,61.0,104.0,45.0,42.0,
KOR,SH.STA.MMRT,"Korea, Rep.","Maternal mortality ratio (modeled estimate, per 100,000 live births)",8.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,12.0,5.0,7.0,4.0,
JPN,SH.STA.MMRT,Japan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,
ITA,SH.STA.MMRT,Italy,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,10.0,6.0,
IDN,SH.STA.MMRT,Indonesia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",242.0,230.0,220.0,208.0,198.0,190.0,182.0,173.0,168.0,161.0,184.0,226.0,148.0,140.0,
IND,SH.STA.MMRT,India,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",188.0,173.0,160.0,148.0,137.0,129.0,121.0,113.0,107.0,101.0,101.0,155.0,90.0,80.0,
DEU,SH.STA.MMRT,Germany,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
FRA,SH.STA.MMRT,France,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,7.0,
CHN,SH.STA.MMRT,China,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",34.0,33.0,32.0,30.0,28.0,26.0,25.0,24.0,22.0,21.0,20.0,21.0,18.0,16.0,
CAN,SH.STA.MMRT,Canada,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",11.0,11.0,11.0,11.0,12.0,11.0,12.0,12.0,13.0,12.0,17.0,14.0,15.0,12.0,
BRA,SH.STA.MMRT,Brazil,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",66.0,62.0,60.0,61.0,63.0,63.0,64.0,61.0,62.0,65.0,85.0,128.0,104.0,67.0,
AUS,SH.STA.MMRT,Australia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,2.0,
ARG,SH.STA.MMRT,Argentina,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",55.0,48.0,49.0,47.0,43.0,39.0,40.0,38.0,38.0,36.0,40.0,76.0,39.0,33.0,
USA,NY.GDP.MKTP.CD,United States,GDP (current US$),15048964444000.0,15599728123000.0,16253972230000.0,16843190993000.0,17550680174000.0,18206020741000.0,18695110842000.0,19477336549000.0,20533057312000.0,21380976119000.0,21060473613000.0,23315080560000.0,25604848907611.0,27292170793214.4,28750956130731.2
GBR,NY.GDP.MKTP.CD,United Kingdom,GDP (current US$),2496740681057.14,2675590034128.66,2719715961539.83,2796908333283.39,3085362169410.29,2945579890258.46,2706807606538.73,2699118387873.1,2897028009916.05,2875710080015.3,2724001478304.59,3194559188925.93,3181244350465.41,3420796653789.08,3686033044482.13
TUR,NY.GDP.MKTP.CD,Turkiye,GDP (current US$),782545664268.333,844192507380.795,885327622479.052,962167643588.925,942343431928.654,865460050683.656,870818016909.84,863874522365.276,788356985773.667,775853144222.613,733628247119.077,839938668172.134,926097476913.818,1141242864657.45,1359123768774.12
ZAF,NY.GDP.MKTP.CD,South Africa,GDP (current US$),417363822801.713,458199494830.834,434400545085.811,400886013595.573,381198869776.106,346709790458.563,323585509674.481,381448814653.456,405260723892.517,389330032224.269,337974655408.055,419986284375.368,407596043067.885,381440724491.232,401144998373.585
SAU,NY.GDP.MKTP.CD,Saudi Arabia,GDP (current US$),528207466666.667,680660800000.0,751921333333.333,769755733333.333,787153066666.667,693414400000.0,689279466666.667,741266133333.333,886564800000.0,888890133333.333,767951200000.0,982661066666.667,1239075200000.0,1218584533333.33,1239804533333.33
RUS,NY.GDP.MKTP.CD,Russian Federation,GDP (current US$),1524916715223.95,2045922753398.04,2208293553878.42,2292470078346.22,2059241589895.01,1363482182197.71,1276786350881.14,1574199360089.0,1657328773461.31,1693115002708.32,1493075894362.14,1829186719575.1,2291612121334.64,2071505725030.58,2173835806671.66
MEX,NY.GDP.MKTP.CD,Mexico,GDP (current US$),1105424238731.09,1229013703416.76,1255110424817.79,1327436290282.67,1364507717614.13,1213294467716.88,1112233497452.7,1190721475906.0,1256300182879.73,1304106203902.45,1121064767308.42,1316569466685.95,1466934724293.06,1798317581486.88,1856365616165.94
KOR,NY.GDP.MKTP.CD,"Korea, Rep.",GDP (current US$),1192830015737.68,1307103477219.1,1335343586437.67,1434669686501.84,1556252422020.44,1539212301135.55,1579150518945.44,1710196756713.17,1824251454306.83,1751045752054.63,1744070276373.34,1942313560965.9,1799363116866.52,1844800934391.54,1875388209406.8
JPN,NY.GDP.MKTP.CD,Japan,GDP (current US$),5759071769013.11,6233147172341.35,6272362996105.03,5212328181166.18,4896994405353.29,4444930651964.18,5003677627544.24,4930837369151.42,5040880939324.86,5117993853016.51,5054068005376.28,5039148168861.22,4262463317796.53,4213167237905.83,4027597523550.58
ITA,NY.GDP.MKTP.CD,Italy,GDP (current US$),2144936254535.0,2306974020278.21,2097929495121.68,2153225581941.46,2173255507985.84,1845428048839.1,1887111188176.93,1970720904584.71,2099435266458.67,2019606796583.53,1907481094079.23,2179207773596.09,2104067630319.46,2316727999333.18,2380825077243.59
IDN,NY.GDP.MKTP.CD,Indonesia,GDP (current US$),755094157621.936,892969104563.171,917869913332.649,912524136718.018,890814755533.537,860854232686.214,931877364037.698,1015618744159.73,1042271532988.63,1119099871350.2,1059054842698.48,1186509691086.73,1319101183380.15,1371169301563.62,1396300098190.97
IND,NY.GDP.MKTP.CD,India,GDP (current US$),1675615519484.96,1823051829894.55,1827637590410.41,1856721507621.58,2039126479154.52,2103588360044.94,2294796885663.16,2651474262755.45,2702929641648.74,2835606256558.19,2674851578587.27,3167270623260.47,3346107287730.93,3638489096033.86,3909891533858.08
DEU,NY.GDP.MKTP.CD,Germany,GDP (current US$),3467093769666.67,3823575803793.78,3596483233406.25,3807023797050.99,3964870735760.77,3425099578746.09,3536787895179.0,3765351626105.89,4055433215301.96,3959894794039.21,3941398957073.94,4355251953410.78,4201021706478.62,4562207532490.28,4685592577804.69
FRA,NY.GDP.MKTP.CD,France,GDP (current US$),2646230027988.34,2870408553990.28,2683007095787.23,2816077607875.26,2861236112552.42,2442483452642.5,2470407619777.13,2588868323334.71,2781576320884.39,2722793515171.76,2647926055110.05,2966433692008.09,2794788137066.94,3056250648138.29,3160442622465.08
CHN,NY.GDP.MKTP.CD,China,GDP (current US$),6192564874453.29,7671757207851.29,8673664713189.24,9743124247267.24,10674533168257.4,11280814787468.9,11456024084962.0,12537559062282.9,14147765772963.8,14560167101283.4,14996414166715.1,18201698719564.0,18316765021690.2,18270356654533.2,18743803170827.2
CAN,NY.GDP.MKTP.CD,Canada,GDP (current US$),1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1743725183672.52,1655684730000.19,2022378748423.23,2190411080134.32,2173339670064.33,2243636826633.76
BRA,NY.GDP.MKTP.CD,Brazil,GDP (current US$),2208838108484.35,2616156606579.21,2465228293706.86,2472819362043.74,2456043766032.38,1802211999456.42,1795693265999.04,2063514688805.78,1916933708352.71,1873288158838.63,1476107292151.95,1670647464062.96,1951923832083.87,2191131869706.02,2185821648943.86
AUS,NY.GDP.MKTP.CD,Australia,GDP (current US$),1152566632022.13,1402939868653.4,1552728401401.58,1583737461925.39,1474677007565.64,1356805839935.9,1211588128417.61,1330890554614.09,1433144978761.67,1398349602956.35,1333336461648.09,1560617493202.69,1695627535475.8,1734451264655.6,1757022451652.83
ARG,NY.GDP.MKTP.CD,Argentina,GDP (current US$),423627422092.49,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,633993756301.08,649461687959.174,638365455340.04
USA,NY.GDP.PCAP.PP.CD,United States,"GDP per capita, PPP (current international $)",48642.6312088213,50024.8812320773,51708.3940614082,53297.3862901595,55153.3940182967,56849.4697923159,57976.628204291,60047.7190728307,62875.6661382728,65227.9565911035,64401.5074354209,71307.4017277218,77860.9112908848,82304.6204272866,85809.9003846359
GBR,NY.GDP.PCAP.PP.CD,United Kingdom,"GDP per capita, PPP (current international $)",36487.6718531875,37224.3787645256,38336.5961844419,39947.5369562562,41266.8197795309,42526.7003586335,44085.2025586772,46113.0211677324,47212.2045190522,50064.9605582187,48230.0477027461,51004.4271714238,58544.4695425536,57915.4940036535,60620.3807747583
TUR,NY.GDP.PCAP.PP.CD,Turkiye,"GDP per capita, PPP (current international $)",17468.1996643291,19717.2438317111,20739.2725488506,22475.2909778388,24192.537613837,25896.983315375,26730.7599731835,28353.5406410966,28640.3401839802,29016.4555653445,29209.3308866883,32105.5474400506,39919.1608756567,43196.3381254367,45122.9317187258
ZAF,NY.GDP.PCAP.PP.CD,South Africa,"GDP per capita, PPP (current international $)",12637.2912226018,13143.1933361097,12986.7976675307,13369.4382039605,13358.9417186608,13397.5234813346,13519.3235102376,13738.4385854596,13347.3634826038,13361.4851289112,12671.0862436851,13681.9548144813,14749.0478045301,15199.7329823776,15456.1989933658
SAU,NY.GDP.PCAP.PP.CD,Saudi Arabia,"GDP per capita, PPP (current international $)",58828.726534911,64125.2177225838,65033.6161818077,62202.8859202572,62578.0708415156,53930.8273872622,49937.0668103808,53120.4572456269,59377.8025368768,59560.2537904546,47518.4877485153,62690.4966645929,71968.074955888,71564.800028565,71375.3727890285
RUS,NY.GDP.PCAP.PP.CD,Russian Federation,"GDP per capita, PPP (current international $)",20490.126953125,22789.54296875,24273.517578125,26019.7265625,25688.2265625,23994.013671875,24012.40234375,25777.904296875,28628.5625,30963.853515625,31490.8046875,38638.4296875,40938.98828125,44268.73046875,47404.96484375
MEX,NY.GDP.PCAP.PP.CD,Mexico,"GDP per capita, PPP (current international $)",15908.8603214578,17266.8129106549,18004.7935607542,18170.264789912,18820.7991098584,19075.3384701377,20104.5839787472,20488.7150800441,20921.4775277572,20964.2774847072,19354.1248706244,20782.5877417545,23387.224276697,24917.1928856764,25738.603144294
KOR,NY.GDP.PCAP.PP.CD,"Korea, Rep.","GDP per capita, PPP (current international $)",33100.7448078145,33944.2511879769,35061.5531929083,35844.2253782408,37032.1724172561,39799.5505724727,41672.6278317077,43155.9100867658,45511.0803506331,46511.2196957018,47881.4921344193,51718.2518656631,55070.8392092838,56227.4239720858,58894.9975738434
JPN,NY.GDP.PCAP.PP.CD,Japan,"GDP per capita, PPP (current international $)",35335.3735103814,36214.4397740241,37605.9742614539,39402.0250988025,39555.4120089198,40906.594569246,40596.9686628995,41444.2157443912,42141.9352987758,42678.1511448354,42425.6946789651,44355.3487163354,47395.8391565645,49896.6436902018,51685.038752551
ITA,NY.GDP.PCAP.PP.CD,Italy,"GDP per capita, PPP (current international $)",34977.9942339965,36392.2827759493,36281.1014243506,36459.2950248716,36665.68576775,37394.4535005423,40482.562999856,42142.3435406885,43386.7005868803,46661.9105159611,44435.6434393527,49825.3934111848,56247.4155916998,57902.4961300606,60881.3726392071
IDN,NY.GDP.PCAP.PP.CD,Indonesia,"GDP per capita, PPP (current international $)",8353.45684733249,8936.99215549454,9530.29071136718,9866.01699250847,10064.677127417,10027.5372996025,10262.5951651871,10687.6409218443,11372.0971987612,11986.4701508376,11729.3674458448,12757.0746440204,14284.929293133,15415.7079259527,16448.2755179559
IND,NY.GDP.PCAP.PP.CD,India,"GDP per capita, PPP (current international $)",4206.45986002117,4454.70153200513,4819.64288218731,5014.3505659078,5191.59149903249,5425.03599091046,5800.48149366552,6144.71714444938,6714.96639877754,7150.92423452926,6966.27542785911,8050.01857452664,9207.12743040145,10323.4998734428,11159.9856476091
DEU,NY.GDP.PCAP.PP.CD,Germany,"GDP per capita, PPP (current international $)",39730.4897885271,43398.3443992496,44229.3941921739,45889.0173022052,47938.7968210418,48558.4432970969,51569.9016841199,54110.2536648812,56273.0405627017,59270.7276496985,58685.872699771,62530.7653199239,68093.7883105553,69199.8397184363,72295.2353730129
FRA,NY.GDP.PCAP.PP.CD,France,"GDP per capita, PPP (current international $)",35911.5438581409,37510.3759898714,37671.0239268565,39583.3520435045,40218.1258637776,40916.10535718,42880.2351355431,44469.1458856805,46381.0590629457,51130.4723140578,49481.8044309655,52517.3354905855,56082.5908377817,58245.4991122357,61290.4238254531
CHN,NY.GDP.PCAP.PP.CD,China,"GDP per capita, PPP (current international $)",9411.13821903204,10456.7916826113,11420.2527051141,12228.3736084197,12941.5964809146,13463.3331511105,14157.2514988004,15022.4371883124,16298.2050619109,17600.8907568493,18267.4783455827,20843.2978347377,23032.1766271143,25179.1193066383,27104.8702677463
CAN,NY.GDP.PCAP.PP.CD,Canada,"GDP per capita, PPP (current international $)",40098.2537191139,41666.8374590278,42291.9729357094,44301.0562529133,45758.1007297304,44669.4513631838,46470.6466391109,48317.3874457163,49982.5999118346,50498.9731057448,48590.6832121939,56995.1176781351,63578.3201949554,64462.9211694495,65463.0990993361
BRA,NY.GDP.PCAP.PP.CD,Brazil,"GDP per capita, PPP (current international $)",14451.7158388109,15211.7920390047,15198.086330971,15722.3335243701,15827.3081625749,14821.4383175183,14309.2061488342,14559.0488897884,15463.7426393743,16069.838015161,16101.6183062954,18075.7060048757,19876.8533531396,21175.6186988214,22338.4765640635
AUS,NY.GDP.PCAP.PP.CD,Australia,"GDP per capita, PPP (current international $)",39500.6303475706,42152.816179831,43007.2697824131,46123.4750962848,47108.5906459966,46452.3565772574,47446.2103030951,48564.8286592372,50371.233830782,52885.8313816377,54184.1614486854,58327.4146842325,66046.5986269043,70755.4123646736,71410.4198745406
ARG,NY.GDP.PCAP.PP.CD,Argentina,"GDP per capita, PPP (current international $)",17847.6110373178,19104.9909405228,19430.4178068112,19928.989490167,19487.4181748868,19899.1499275245,20105.761359796,23385.0740904917,24410.3919063335,23516.8261980886,22393.3479575353,26300.274261175,29808.8073468007,30221.4976888753,30431.1931223693
USA,SL.UEM.TOTL.ZS,United States,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638,4.106
GBR,SL.UEM.TOTL.ZS,United Kingdom,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.924,8.169,8.25,7.704,6.363,5.517,4.867,4.452,4.12,3.613,4.472,4.826,3.73,3.984,4.111
TUR,SL.UEM.TOTL.ZS,Turkiye,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.879,9.789,9.21,9.713,9.901,10.304,10.899,10.919,10.956,13.73,13.148,11.969,10.465,9.388,8.449
ZAF,SL.UEM.TOTL.ZS,South Africa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",24.683,24.639,24.727,24.561,24.89,25.149,26.536,27.035,26.906,28.468,29.217,34.007,33.268,32.098,33.168
SAU,SL.UEM.TOTL.ZS,Saudi Arabia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.55,5.77,5.622,5.6,5.877,5.6,5.6,5.89,6.029,5.636,7.66,6.621,5.589,4.008,3.896
RUS,SL.UEM.TOTL.ZS,Russian Federation,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.407,6.571,5.484,5.513,5.212,5.615,5.591,5.238,4.871,4.513,5.62,4.749,3.867,3.076,2.527
MEX,SL.UEM.TOTL.ZS,Mexico,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.303,5.175,4.892,4.921,4.819,4.311,3.853,3.419,3.275,3.477,4.44,4.019,3.256,2.765,2.711
KOR,SL.UEM.TOTL.ZS,"Korea, Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",3.324,2.992,2.812,2.747,3.082,3.546,3.65,3.653,3.824,3.746,3.931,3.639,2.857,2.675,2.604
JPN,SL.UEM.TOTL.ZS,Japan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.102,4.55,4.358,4.038,3.589,3.385,3.132,2.822,2.467,2.351,2.809,2.828,2.6,2.6,2.563
ITA,SL.UEM.TOTL.ZS,Italy,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.363,8.359,10.655,12.149,12.683,11.896,11.688,11.211,10.61,9.951,9.164,9.497,8.069,7.627,6.778
IDN,SL.UEM.TOTL.ZS,Indonesia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.614,5.153,4.468,4.336,4.049,4.514,4.301,3.783,4.387,3.59,4.255,3.827,3.462,3.308,3.3
IND,SL.UEM.TOTL.ZS,India,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.652,7.616,7.666,7.711,7.674,7.631,7.601,7.618,7.652,6.51,7.859,6.38,4.822,4.172,4.202
DEU,SL.UEM.TOTL.ZS,Germany,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.043,5.967,5.372,5.316,4.979,4.612,4.104,3.781,3.384,3.163,3.881,3.594,3.12,3.068,3.406
FRA,SL.UEM.TOTL.ZS,France,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.279,9.228,9.841,9.913,10.273,10.354,10.057,9.409,9.018,8.415,8.009,7.874,7.308,7.335,7.37
CHN,SL.UEM.TOTL.ZS,China,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.53,4.55,4.58,4.6,4.63,4.65,4.56,4.47,4.31,4.56,5.0,4.55,4.98,4.67,4.571
